iter	Passed	Remaining
536	11131	30325
537	11152	30307
538	11163	30258
539	11182	30235
540	11203	30214
541	11217	30174
542	11237	30153
543	11262	30145
544	11276	30104
545	11300	30093
546	11321	30073
547	11344	30059
548	11368	30047
549	11389	30025
550	11409	30004
551	11429	29982
552	11452	29966
553	11472	29943
554	11492	29922
555	11512	29899
556	11534	29881
557	11556	29864
558	11578	29846
559	11598	29824
560	11618	29802
561	11638	29780
562	11652	29742
563	11672	29719
564	11691	29695
565	11696	29633
566	11709	29593
567	11729	29571
568	11752	29556
569	11776	29545
570	11797	29525
571	11819	29506
572	11839	29486
573	11860	29464
574	11880	29441
575	11899	29418
576	11919	29395
577	11939	29374
578	11960	29353
579	11983	29339
580	12004	29320
581	12025	29298
582	12047	29281
583	12068	29262
584	12076	29210
585	12096	29188
586	12116	29166
587	12136	29143
588	12173	29163
589	12201	29158
590	12222	29139
591	12243	29119
592	12260	29089
593	12273	29051
594	12293	29029
595	12313	29008
596	12338	28996
597	12345	28942
598	12366	28923
599	12397	28928
600	12425	28923
601	12448	28907
602	12468	28886
603	12489	28866
604	12526	28883
605	12550	28871
606	12571	28849
607	12591	28827
608	12612	28807
609	12634	28790
610	12643	28741
611	12656	28705
612	12676	28682
613	12696	28661
614	12717	28639
615	12737	28617
616	12769	28623
617	12794	28611
618	12818	28597
619	12840	28580
620	12852	28540
621	12872	28517
622	12891	28494
623	12901	28450
624	12921	28427
625	12936	28394
626	12947	28352
627	12968	28333
628	12979	28291
629	13001	28272
630	13023	28254
631	13046	28239
632	13053	28189
633	13073	28166
634	13093	28145
635	13112	28122
636	13131	28098
637	13146	28064
638	13167	28044
639	13186	28021
640	13215	28018
641	13229	27984
642	13251	27966
643	13272	27946
644	13292	27924
645	13312	27902
646	13333	27883
647	13354	27863
648	13374	27841
649	13393	27817
650	13413	27796
651	13434	27775
652	13457	27759
653	13477	27738
654	13508	27739
655	13529	27719
656	13551	27701
657	13572	27681
658	13592	27659
659	13612	27638
660	13632	27615
661	13636	27562
662	13657	27541
663	13678	27522
664	13699	27502
665	13719	27480
666	13739	27458
667	13760	27437
668	13767	27391
669	13788	27371
670	13795	27323
671	13814	27300
672	13833	27276
673	13855	27258
674	13877	27240
675	13897	27219
676	13911	27185
677	13930	27161
678	13949	27139
679	13969	27116
680	13979	27076
681	13999	27054
682	14020	27034
683	14041	27014
684	14067	27005
685	14088	26986
686	14110	26968
687	14129	26945
688	14150	26925
689	14171	26906
690	14193	26888
691	14215	26869
692	14235	26848
693	14254	26825
694	14276	26806
695	14299	26791
696	14321	26772
697	14343	26754
698	14363	26733
699	14383	26713
700	14388	26662
701	14428	26677
702	14439	26639
703	14468	26634
704	14491	26618
705	14523	26619
706	14545	26602
707	14566	26581
708	14586	26560
709	14597	26521
710	14616	26498
711	14636	26476
712	14656	26456
713	14676	26434
714	14696	26412
715	14719	26396
716	14739	26375
717	14743	26324
718	14763	26303
719	14784	26282
720	14803	26260
721	14824	26239
722	14845	26221
723	14863	26196
724	14883	26174
725	14905	26157
726	14915	26118
727	14927	26082
728	14948	26062
729	14970	26043
730	14990	26022
731	15015	26010
732	15037	25991
733	15044	25948
734	15063	25926
735	15083	25904
736	15105	25885
737	15109	25837
738	15132	25820
739	15152	25800
740	15173	25780
741	15193	25760
742	15213	25738
743	15233	25716
744	15252	25694
745	15272	25672
746	15292	25650
747	15316	25637
748	15339	25620
749	15360	25600
750	15381	25580
751	15388	25537
752	15406	25514
753	15425	25491
754	15446	25470
755	15465	25447
756	15484	25425
757	15505	25405
758	15527	25387
759	15549	25369
760	15571	25351
761	15591	25331
762	15611	25310
763	15631	25288
764	15650	25265
765	15657	25224
766	15677	25202
767	15686	25164
768	15707	25143
769	15720	25112
770	15741	25092
771	15764	25076
772	15784	25055
773	15804	25034
774	15825	25013
775	15845	24994
776	15865	24972
777	15884	24949
778	15891	24908
779	15911	24887
780	15932	24868
781	15956	24852
782	15976	24831
783	16011	24833
784	16039	24824
785	16060	24806
786	16080	24785
787	16091	24749
788	16110	24727
789	16133	24710
790	16158	24697
791	16169	24662
792	16193	24647
793	16213	24626
794	16234	24606
795	16254	24586
796	16277	24569
797	16319	24581
798	16356	24586
799	16396	24594
800	16426	24589
801	16486	24627
802	16535	24648
803	16548	24617
804	16593	24633
805	16630	24636
806	16683	24664
807	16718	24663
808	16753	24663
809	16787	24663
810	16834	24681
811	16849	24651
812	16885	24653
813	16924	24658
814	16967	24670
815	16991	24654
816	17026	24654
817	17072	24669
818	17104	24664
819	17136	24659
820	17168	24654
821	17202	24653
822	17238	24653
823	17274	24653
824	17329	24681
825	17372	24692
826	17411	24696
827	17455	24707
828	17500	24720
829	17533	24715
830	17563	24706
831	17594	24699
832	17622	24688
833	17652	24679
834	17681	24669
835	17706	24653
836	17727	24631
837	17750	24613
838	17769	24589
839	17790	24568
840	17811	24546
841	17831	24523
842	17852	24502
843	17876	24484
844	17900	24468
845	17920	24444
846	17942	24424
847	17962	24401
848	17983	24380
849	18004	24358
850	18020	24330
851	18041	24309
852	18061	24287
853	18084	24268
854	18105	24246
855	18118	24214
856	18140	24194
857	18160	24171
858	18181	24150
859	18203	24130
860	18224	24109
861	18245	24087
862	18269	24070
863	18297	24057
864	18317	24035
865	18357	24038
866	18378	24016
867	18399	23995
868	18436	23995
869	18465	23983
870	18487	23964
871	18513	23948
872	18537	23930
873	18557	23907
874	18580	23889
875	18601	23867
876	18646	23877
877	18679	23870
878	18710	23861
879	18746	23859
880	18767	23837
881	18789	23816
882	18810	23795
883	18834	23777
884	18854	23754
885	18875	23732
886	18897	23712
887	18924	23697
888	18945	23676
889	18964	23652
890	18987	23633
891	19007	23610
892	19029	23589
893	19049	23566
894	19070	23545
895	19074	23502
896	19094	23480
897	19117	23460
898	19142	23443
899	19165	23424
900	19185	23402
901	19206	23379
902	19224	23355
903	19248	23337
904	19273	23319
905	19294	23298
906	19298	23256
907	19321	23236
908	19361	23238
909	19368	23200
910	19389	23177
911	19409	23154
912	19434	23138
913	19469	23133
914	19503	23126
915	19534	23116
916	19562	23103
917	19584	23083
918	19604	23059
919	19627	23040
920	19648	23019
921	19672	23000
922	19692	22977
923	19732	22978
924	19764	22969
925	19791	22954
926	19814	22935
927	19836	22914
928	19862	22898
929	19883	22876
930	19902	22853
931	19925	22832
932	19956	22822
933	20009	22837
934	20039	22826
935	20064	22808
936	20086	22787
937	20107	22765
938	20128	22744
939	20148	22721
940	20170	22699
941	20190	22676
942	20211	22654
943	20236	22636
944	20259	22617
945	20280	22595
946	20300	22572
947	20320	22550
948	20341	22527
949	20362	22505
950	20383	22484
951	20403	22460
952	20424	22438
953	20442	22414
954	20476	22406
955	20506	22393
956	20527	22372
957	20548	22349
958	20568	22327
959	20589	22305
960	20611	22284
961	20632	22262
962	20655	22242
963	20677	22222
964	20699	22201
965	20710	22168
966	20714	22128
967	20735	22106
968	20756	22085
969	20778	22063
970	20799	22042
971	20820	22020
972	20843	22000
973	20880	21995
974	20902	21974
975	20943	21973
976	20980	21967
977	20991	21935
978	21021	21923
979	21046	21905
980	21070	21886
981	21094	21867
982	21101	21831
983	21122	21809
984	21143	21787
985	21163	21764
986	21185	21743
987	21203	21718
988	21223	21696
989	21252	21682
990	21273	21660
991	21303	21647
992	21326	21627
993	21347	21605
994	21370	21585
995	21392	21564
996	21417	21546
997	21435	21521
998	21459	21502
999	21495	21495
1000	21530	21487
1001	21564	21478
1002	21592	21463
1003	21617	21445
1004	21640	21425
1005	21668	21409
1006	21692	21390
1007	21732	21387
1008	21766	21378
1009	21797	21365
1010	21834	21359
1011	21873	21354
1012	21924	21361
1013	21947	21341
1014	21982	21332
1015	22021	21327
1016	22125	21385
1017	22155	21372
1018	22179	21352
1019	22200	21329
1020	22221	21307
1021	22241	21284
1022	22265	21264
1023	22290	21245
1024	22317	21228
1025	22346	21214
1026	22372	21196
1027	22394	21174
1028	22415	21152
1029	22438	21131
1030	22446	21096
1031	22466	21073
1032	22486	21050
1033	22508	21028
1034	22528	21004
1035	22549	20982
1036	22569	20958
1037	22591	20937
1038	22611	20914
1039	22631	20890
1040	22642	20858
1041	22652	20826
1042	22668	20799
1043	22678	20766
1044	22697	20742
1045	22704	20707
1046	22724	20683
1047	22746	20662
